,case,solver1,solver2,solver3,var_num,assert_num,nax_str_len,max_depth
0,z3str337.smt2,40.0,0.1275010108947754,40.0,8,4,0,3
0,z3str338.smt2,40.0,0.05401897430419922,40.0,7,4,6,3
0,z3str339.smt2,40.0,0.04753851890563965,40.0,8,4,0,3
0,z3str340.smt2,40.0,0.21687841415405273,40.0,6,4,7,3
0,z3str341.smt2,40.0,0.11381387710571289,0.10851216316223145,8,4,0,3
0,z3str342.smt2,40.0,0.04188704490661621,0.07880496978759766,7,4,0,3
0,z3str343.smt2,40.0,0.0901651382446289,40.0,8,4,0,3
0,z3str344.smt2,40.0,0.10697102546691895,0.12796545028686523,8,4,9,3
0,z3str345.smt2,40.0,0.09608626365661621,40.0,8,4,0,3
0,z3str346.smt2,40.0,0.3891291618347168,40.0,8,4,5,3
0,z3str347.smt2,40.0,0.10243749618530273,0.1346433162689209,7,4,9,3
0,z3str348.smt2,40.0,0.04006648063659668,40.0,6,4,6,3
0,z3str349.smt2,40.0,40.0,0.08758711814880371,8,4,1,3
0,z3str350.smt2,40.0,0.07992911338806152,40.0,8,4,7,3
0,z3str351.smt2,40.0,0.046982526779174805,40.0,8,4,0,3
0,z3str352.smt2,40.0,0.2063918113708496,40.0,8,4,0,3
0,z3str353.smt2,40.0,0.049363136291503906,0.07010293006896973,7,4,8,3
0,z3str354.smt2,40.0,1.199143648147583,40.0,8,4,0,3
0,z3str355.smt2,40.0,0.07318878173828125,40.0,8,4,7,3
0,z3str356.smt2,40.0,0.851891279220581,0.9456188678741455,9,4,8,3
0,z3str357.smt2,40.0,0.33037424087524414,40.0,8,4,9,3
0,z3str358.smt2,40.0,0.051796674728393555,40.0,9,4,0,3
0,z3str359.smt2,40.0,0.04491686820983887,0.24744606018066406,6,4,0,3
0,z3str360.smt2,40.0,1.9035866260528564,0.11734890937805176,8,4,0,3
0,z3str361.smt2,40.0,0.04034137725830078,0.055455923080444336,7,4,0,3
0,z3str362.smt2,40.0,0.04661440849304199,0.09425830841064453,8,4,0,3
0,z3str363.smt2,40.0,3.2523133754730225,0.1114053726196289,8,4,0,3
0,z3str364.smt2,40.0,0.16263079643249512,40.0,8,4,0,3
0,z3str365.smt2,40.0,0.06371712684631348,0.14224600791931152,8,4,0,3
0,z3str366.smt2,40.0,40.0,5.88641357421875,9,4,0,3
0,z3str367.smt2,40.0,40.0,0.05004477500915527,8,4,6,3
0,z3str368.smt2,40.0,0.07454323768615723,40.0,8,4,7,3
0,z3str369.smt2,40.0,8.361257791519165,0.06196141242980957,8,4,0,3
0,z3str370.smt2,40.0,0.048386573791503906,40.0,8,4,0,3
0,z3str371.smt2,40.0,40.0,0.06814026832580566,8,4,2,3
0,z3str372.smt2,40.0,1.5767571926116943,40.0,8,4,7,3
0,z3str373.smt2,40.0,0.08420205116271973,0.10039472579956055,8,4,0,3
0,z3str374.smt2,40.0,0.10175299644470215,40.0,8,4,10,3
0,z3str375.smt2,40.0,0.3206913471221924,0.1609344482421875,8,4,0,3
0,z3str376.smt2,40.0,0.18019652366638184,40.0,9,4,0,3
0,z3str377.smt2,40.0,0.10865449905395508,0.2628307342529297,8,4,6,3
0,z3str378.smt2,40.0,40.0,0.0977323055267334,8,4,0,3
0,z3str379.smt2,40.0,40.0,0.039598703384399414,7,4,0,3
0,z3str380.smt2,40.0,40.0,0.12119626998901367,5,4,0,3
0,z3str381.smt2,40.0,0.15349054336547852,0.05833864212036133,4,4,2,3
0,z3str382.smt2,40.0,0.036432504653930664,40.0,8,4,0,3
0,z3str383.smt2,40.0,0.17362213134765625,40.0,8,4,0,3
0,z3str384.smt2,40.0,40.0,6.351531028747559,5,4,0,3
0,z3str385.smt2,40.0,40.0,0.05649065971374512,8,4,10,3
0,z3str386.smt2,40.0,0.10118317604064941,40.0,9,4,10,3
0,z3str387.smt2,40.0,0.04553723335266113,0.07752132415771484,8,4,0,3
0,z3str388.smt2,40.0,0.8552234172821045,40.0,8,4,9,3
0,z3str389.smt2,40.0,40.0,0.0968620777130127,9,4,9,3
0,z3str390.smt2,40.0,40.0,0.1975715160369873,7,4,7,3
0,z3str391.smt2,40.0,0.09372687339782715,0.33144330978393555,8,4,2,3
0,z3str392.smt2,40.0,0.0471959114074707,40.0,9,4,7,3
0,z3str393.smt2,40.0,40.0,0.07872486114501953,7,4,0,3
0,z3str394.smt2,40.0,40.0,10.42650580406189,8,4,0,3
0,z3str395.smt2,40.0,40.0,0.056494712829589844,9,4,10,3
0,z3str396.smt2,40.0,40.0,13.282095670700073,8,4,4,3
0,z3str397.smt2,40.0,0.08157920837402344,0.12323260307312012,5,4,1,3
0,z3str398.smt2,40.0,40.0,0.12715673446655273,8,4,3,3
0,z3str399.smt2,40.0,0.9845943450927734,0.13303208351135254,8,4,0,3
0,z3str3100.smt2,40.0,0.18590831756591797,0.11272716522216797,8,4,9,3
0,z3str3101.smt2,40.0,0.7116382122039795,0.054141998291015625,9,4,0,3
0,z3str3102.smt2,40.0,40.0,0.4328591823577881,7,4,3,3
0,z3str3103.smt2,40.0,0.4601407051086426,0.0674443244934082,8,4,7,3
